file_name,answer
./dataset/liquidation_accounting_error/PositionManager.sol,1
./dataset/liquidation_accounting_error/VaultManagerV2.sol,1
./dataset/liquidation_accounting_error/2024-06-new-scope-LiquidationLogic.sol,1
./dataset/liquidation_accounting_error/CDSLib.sol,1
./dataset/liquidation_accounting_error/borrowLiquidation.sol,1
./dataset/liquidation_accounting_error/ForceActionsFacetImpl.sol,1
./dataset/liquidation_accounting_error/Listings.sol,1
./dataset/liquidation_accounting_error/LiquidationPoolManager.sol,1
./dataset/liquidation_accounting_error/Liquidation.sol,1
./dataset/liquidation_accounting_error/TradingAccount.sol,1
./dataset/liquidation_accounting_error/MFDLogic.sol,1
./dataset/liquidation_accounting_error/VaultLogic.sol,1
./dataset/liquidation_accounting_error/WithdrawRequestBase.sol,1
./dataset/liquidation_accounting_error/CDPVault.sol,1
./dataset/liquidation_accounting_error/DecreasePositionProcess.sol,1
./dataset/liquidation_accounting_error/PositionMarginProcess.sol,1
./dataset/liquidation_accounting_error/LiquidateWithReplacement.sol,1
./dataset/liquidation_accounting_error/PrizePool.sol,1
./dataset/liquidation_accounting_error/2024-05-predy-LiquidationLogic.sol,1
./dataset/liquidation_accounting_error/2024-04-interest-rate-model-Market.sol,1
./dataset/liquidation_accounting_error/LenderCommitmentGroup_Smart.sol,1
./dataset/liquidation_accounting_error/Pool.sol,1
./dataset/liquidation_accounting_error/2024-02-perennial-v2-3-Market.sol,1
./dataset/liquidation_accounting_error/CollateralTracker.sol,1
./dataset/liquidation_accounting_error/BBLiquidation.sol,1
./dataset/liquidation_accounting_error/Borrower.sol,1
./dataset/liquidation_accounting_error/LiquidationLibrary.sol,1
./dataset/liquidation_accounting_error/LiquidationFacetImpl.sol,1
./dataset/liquidation_accounting_error/LibSolvency.sol,1
./dataset/liquidation_accounting_error/Vault.sol,1
