file_name,answer
DebitaLendOffer-Implementation.sol,1
BribeVault.sol,1
0x79ad73567e7f9a5b4a2d28264f78aff9d971cf14.sol,1
NFTPairWithOracle.sol,1
Position.sol,1
LamboRebalanceOnUniwap.sol,1
Curves.sol,1
PartyGovernanceNFT.sol,1
HatsSignerGateBase.sol,1
Redeemer.sol,1
LaunchEvent.sol,1
0x9902211b5d4bd822594e6f052637bf36515ac9a7.sol,1
optimisticGrantImplant.sol,1
CuratorRewardsDistributor.sol,1
VTVLVesting.sol,1
LendingPool.sol,1
Cred.sol,1
BvbProtocol.sol,1
0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1.sol,1
CNumaToken.sol,1
FeeWrapper.sol,1
CollateralizedDebt.sol,1
Pair.sol,1
SemiFungiblePositionManager.sol,1
CDSLib.sol,1
CDS.sol,1
VUSD.sol,1
0x33813c2f2aab62ac88c234858a1f08448424828f.sol,1
0xf6dbe88ba55f1793ff0773c9b1275300f830914f.sol,1
USDA.sol,1
GiantSavETHVaultPool.sol,1
YoloV2.sol,1
StakingFundsVault.sol,1
LiquidStakingManager.sol,1
Create.sol,1
Trader.sol,1
NFTPair.sol,1
FlashGovernanceArbiter.sol,1
OracleLess.sol,1
account_contract.cairo,1
BathBuddy.sol,1
Governance.sol,1
MergingPool.sol,1
VRFCoordinatorV2.sol,1
HatsSignerGate.sol,1
Timelock.sol,1
GiantMevAndFeesPool.sol,1
LensHub.sol,1
TRSRY.sol,1
0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e.sol,1
Vault.sol,1
SavingsVest.sol,1
Safe.sol,1
InfinityExchange.sol,1
BondFixedTermTeller.sol,1
BalancerPairOracle.sol,1
Swapper.sol,1
JBPayoutRedemptionPaymentTerminal.sol,1
SymmVesting.sol,1
AutoRoller.sol,1
Basket.sol,1
yVault.sol,1
0x7c4393ee129d7856b5bd765c2d20b66f464ccd0f.sol,1
PaprController.sol,1
FeeSplitter.sol,1
Leverager.sol,1
GovernanceProxy.sol,1
Vesting.sol,1
AuctionHouse.sol,1
XDEFIDistribution.sol,1
BorrowerOperations.sol,1
RToken.sol,1
MessageProxyForSchain.sol,1
ConcurRewardPool.sol,1
SyndicateRewardsProcessor.sol,1
V3Vault.sol,1
buyOrder.sol,1
Market.sol,1
NFTLoanFacilitator.sol,1
GiantPoolBase.sol,1
JBETHPaymentTerminal.sol,1
VouchFaucet.sol,1
LineOfCredit.sol,1
ERC1155.sol,0
2021-11-badgerzaps-Zap.sol,0
AccessManaged.sol,0
ERC2771Context.sol,0
2023-02-blueberry-IchiVaultSpell.sol,0
VestingWallet.sol,0
2022-05-rubicon-RubiconRouter.sol,0
ProxyAdmin.sol,0
IAccessControlEnumerable.sol,0
polygonscan-0x3974fbdc22741a1632e024192111107b202f214f-Swap.sol,0
IERC2981.sol,0
etherscan-0xed41c3402c4b62777939b7334b4d3d2407517ff9-PirexClaims.sol,0
Pausable.sol,0
V4Router.sol,0
TransparentUpgradeableProxy.sol,0
2022-06-badger-MyStrategy.sol,0
Governor.sol,0
draft-ERC6909.sol,0
optimistic-0xd582226b586ab06f3bf9353f0f2b8618a3544719-Swap.sol,0
etherscan-0x2c06ba9e7f0daccbc1f6a33ea67e85bb68fbee3a-LendsToken.sol,0
bscscan-0x0000009d717022f6ddd4a91e63c097a058f9250d-HFH.sol,0
Clones.sol,0
Address.sol,0
IERC1967.sol,0
bscscan-0x000000eed287174a06550eabe6a00074255cab34-Automan.sol,0
ERC721.sol,0
SwapRouter.sol,0
optimistic-0xab15c49c560e7a6362f6b5c5a0d6351d0ef4ac8b-LiquidityReward_4.sol,0
AccessControlDefaultAdminRules.sol,0
2022-01-notional-sNOTE.sol,0
IERC1363.sol,0
etherscan-0xb192908e533fc64109a20ee7d056175a24f17a55-StrategyZaps.sol,0
2021-10-mochi-FeePoolV0.sol,0
etherscan-0xb9f599ce614feb2e1bbe58f180f370d05b39344e-Forker.sol,0
polygonscan-0x496f253fd333b16687582cce705311d337eb4c94-ExchangeCurrency.sol,0
etherscan-0x1a2eb478fa07125c9935a77b3c03a82470801e30-AminoToken.sol,0
2023-04-blueberry-ConvexSpell.sol,0
CompoundTimelock.sol,0
2021-11-malt-UniswapHandler.sol,0
optimistic-0x129fb07d534c80025ba3e3ff9cb4f5455458afb4-Swap.sol,0
NonfungiblePositionManager.sol,0
Calldata.sol,0
Create2.sol,0
UniswapV2Router02.sol,0
2021-11-badgerzaps-IbbtcVaultZap.sol,0
2023-07-blueberry-AuraSpell.sol,0
2022-06-illuminate-MarketPlace.sol,0
2023-05-maia-ERC4626DepositOnly.sol,0
polygonscan-0xb0fbc2811496849094103e0def6e5a68b71bc8f3-DolzSwap.sol,0
draft-ERC7579Utils.sol,0
TimelockController.sol,0
2021-11-vader-VaderRouterV2.sol,0
AccessControl.sol,0
2023-02-gmx-DecreaseOrderUtils.sol,0
PositionManager.sol,0
2022-04-backd-CvxCrvRewardsLocker.sol,0
ERC4626.sol,0
2023-06-real-wagmi-Multipool.sol,0
